Order_ID,Order_Date,Customer_ID,Customer_Name,Product_Name,Category,Quantity,Unit_Price,Total_Amount,City,Payment_Method,Order_Status
ORD1001,12-03-2026,CUST108,Neha Pawar,Backpack,Accessories,1,1629,1629,Nashik,UPI,Returned
ORD1002,19-04-2026,CUST102,Aarav Sharma,Water Bottle,Accessories,5,642.17,3210.85,Pune,Credit Card,Completed
ORD1003,20-02-2026,CUST118,Riya Desai,Notebook,Stationery,5,108.64,543.2,Nagpur,Cash,Cancelled
ORD1004,10-02-2026,CUST114,Karan Mehta,Mouse,Electronics,1,946.59,946.59,Aurangabad,Credit Card,Completed
ORD1005,08-04-2026,CUST104,Isha Gupta,Shoes,Fashion,3,2945.41,8836.23,Thane,Net Banking,Completed
ORD1006,18-05-2026,CUST104,Siddharth Patil,Shoes,Fashion,1,3347.03,3347.03,Pune,Net Banking,Completed
ORD1007,03-04-2026,CUST119,Aditya More,T-Shirt,Fashion,5,969.38,4846.9,Pune,UPI,Returned
ORD1008,07-08-2026,CUST108,Sneha Kulkarni,Keyboard,Electronics,3,1974.68,5924.04,Navi Mumbai,Debit Card,Completed
ORD1009,01-04-2026,CUST107,Rahul Jadhav,Backpack,Accessories,3,1678.56,5035.68,Pune,Net Banking,Returned
ORD1010,11-02-2026,CUST115,Siddharth Patil,Headphones,Electronics,5,2614.56,13072.8,Aurangabad,Net Banking,Completed
ORD1011,18-07-2026,CUST102,Neha Pawar,Backpack,Accessories,3,1923.43,5770.29,Mumbai,Debit Card,Completed
ORD1012,30-08-2026,CUST119,Karan Mehta,Mouse,Electronics,1,847.98,847.98,Nagpur,Cash,Completed
ORD1013,05-02-2026,CUST108,Kavya Joshi,Jeans,Fashion,4,2042.86,8171.44,Aurangabad,Net Banking,Completed
ORD1014,26-02-2026,CUST105,Nikhil Pawar,Jeans,Fashion,5,2155.74,10778.7,Kolhapur,UPI,Completed
ORD1015,10-02-2026,CUST114,Tanvi Shah,T-Shirt,Fashion,1,837.51,837.51,Pune,Cash,Completed
ORD1016,22-05-2026,CUST101,Sneha Kulkarni,Pen Set,Stationery,4,251.46,1005.84,Aurangabad,Debit Card,Completed
ORD1017,01-01-2026,CUST109,Nikhil Pawar,Mouse,Electronics,4,838.47,3353.88,Nashik,Net Banking,Completed
ORD1018,10-05-2026,CUST120,Aditya More,T-Shirt,Fashion,3,961.5,2884.5,Nashik,Debit Card,Completed
ORD1019,03-06-2026,CUST111,Mansi Kulkarni,Notebook,Stationery,5,130.04,650.2,Mumbai,UPI,Completed
ORD1020,03-03-2026,CUST119,Rohan Deshmukh,Jeans,Fashion,3,2085.36,6256.08,Pune,Cash,Completed
ORD1021,02-02-2026,CUST116,Kavya Joshi,Shoes,Fashion,5,3370.13,16850.65,Nashik,Debit Card,Cancelled
ORD1022,24-02-2026,CUST118,Aditya More,T-Shirt,Fashion,5,886.16,4430.8,Aurangabad,Cash,Returned
ORD1023,13-05-2026,CUST115,Sneha Kulkarni,Backpack,Accessories,3,1777.72,5333.16,Nagpur,Credit Card,Completed
ORD1024,28-02-2026,CUST119,Neha Pawar,Office Chair,Furniture,1,8650.12,8650.12,Mumbai,UPI,Returned
ORD1025,20-08-2026,CUST102,Karan Mehta,Backpack,Accessories,1,1702.42,1702.42,Pune,Net Banking,Completed
ORD1026,03-02-2026,CUST119,Omkar More,Mouse,Electronics,4,848.56,3394.24,Mumbai,Credit Card,Completed
ORD1027,25-01-2026,CUST114,Isha Gupta,Shoes,Fashion,4,3001.86,12007.44,Navi Mumbai,Cash,Completed
ORD1028,15-06-2026,CUST104,Ananya Patil,T-Shirt,Fashion,1,931.21,931.21,Navi Mumbai,Debit Card,Completed
ORD1029,25-04-2026,CUST105,Riya Desai,Keyboard,Electronics,2,1688.48,3376.96,Nashik,Debit Card,Completed
ORD1030,09-08-2026,CUST118,Sneha Kulkarni,Keyboard,Electronics,1,1779.53,1779.53,Mumbai,Net Banking,Completed
ORD1031,05-05-2026,CUST116,Aditya More,Smartphone,Electronics,2,26131.34,52262.68,Navi Mumbai,UPI,Completed
ORD1032,09-03-2026,CUST115,Pooja Chavan,Desk,Furniture,1,13164.74,13164.74,Navi Mumbai,Net Banking,Returned
ORD1033,17-03-2026,CUST107,Ananya Patil,Water Bottle,Accessories,4,651.67,2606.68,Mumbai,Debit Card,Completed
ORD1034,24-08-2026,CUST117,Priya Shah,Laptop,Electronics,5,44791.1,223955.5,Mumbai,Net Banking,Completed
ORD1035,18-01-2026,CUST108,Siddharth Patil,T-Shirt,Fashion,2,822.33,1644.66,Pune,Net Banking,Completed
ORD1036,21-01-2026,CUST114,Omkar More,Pen Set,Stationery,5,226.99,1134.95,Thane,Debit Card,Completed
ORD1037,12-04-2026,CUST105,Pooja Chavan,Backpack,Accessories,3,1705.93,5117.79,Kolhapur,Debit Card,Completed
ORD1038,25-05-2026,CUST104,Rohan Deshmukh,Laptop,Electronics,4,46090.43,184361.72,Nagpur,Net Banking,Completed
ORD1039,14-08-2026,CUST108,Isha Gupta,Headphones,Electronics,3,2690.43,8071.29,Aurangabad,Credit Card,Completed
ORD1040,06-06-2026,CUST117,Aarav Sharma,T-Shirt,Fashion,5,936.64,4683.2,Aurangabad,UPI,Completed
ORD1041,10-07-2026,CUST118,Vivek Joshi,Mouse,Electronics,1,970.15,970.15,Aurangabad,Debit Card,Cancelled
ORD1042,12-06-2026,CUST109,Nikhil Pawar,Keyboard,Electronics,3,1693.3,5079.9,Kolhapur,Debit Card,Completed
ORD1043,12-01-2026,CUST101,Karan Mehta,Smartphone,Electronics,4,29844.35,119377.4,Nashik,Debit Card,Completed
ORD1044,20-04-2026,CUST118,Aarav Sharma,Water Bottle,Accessories,4,707.24,2828.96,Pune,UPI,Returned
ORD1045,02-08-2026,CUST112,Omkar More,Jeans,Fashion,2,2220.06,4440.12,Nashik,Cash,Completed
ORD1046,27-08-2026,CUST102,Isha Gupta,Laptop,Electronics,3,43781.86,131345.58,Nagpur,Credit Card,Returned
ORD1047,15-08-2026,CUST114,Tanvi Shah,Smartphone,Electronics,3,29568.65,88705.95,Nashik,Credit Card,Completed
ORD1048,07-01-2026,CUST106,Karan Mehta,Shoes,Fashion,2,3444.11,6888.22,Navi Mumbai,Credit Card,Completed
ORD1049,10-01-2026,CUST116,Neha Pawar,Headphones,Electronics,1,2441.27,2441.27,Nagpur,Cash,Completed
ORD1050,18-06-2026,CUST107,Siddharth Patil,Mouse,Electronics,2,850.13,1700.26,Thane,Debit Card,Completed
ORD1051,11-05-2026,CUST113,Kavya Joshi,Shoes,Fashion,3,3104.73,9314.19,Thane,UPI,Completed
ORD1052,09-03-2026,CUST102,Sneha Kulkarni,Jeans,Fashion,3,2058.57,6175.71,Navi Mumbai,Debit Card,Returned
ORD1053,11-05-2026,CUST104,Siddharth Patil,Shoes,Fashion,3,3159.29,9477.87,Nagpur,Debit Card,Completed
ORD1054,25-08-2026,CUST118,Aditya More,Water Bottle,Accessories,4,630.24,2520.96,Thane,Cash,Completed
ORD1055,19-06-2026,CUST104,Pooja Chavan,Backpack,Accessories,3,1844.34,5533.02,Aurangabad,UPI,Completed
ORD1056,19-02-2026,CUST114,Siddharth Patil,Desk,Furniture,3,12130.59,36391.77,Nashik,Net Banking,Cancelled
ORD1057,01-01-2026,CUST110,Pooja Chavan,Mouse,Electronics,4,908.63,3634.52,Nagpur,Cash,Cancelled
ORD1058,24-04-2026,CUST107,Nikhil Pawar,Pen Set,Stationery,3,248.25,744.75,Kolhapur,Credit Card,Returned
ORD1059,12-06-2026,CUST120,Karan Mehta,Smartphone,Electronics,3,28086.53,84259.59,Pune,Credit Card,Returned
ORD1060,07-02-2026,CUST101,Ananya Patil,Mouse,Electronics,2,955.18,1910.36,Nagpur,Cash,Cancelled
ORD1061,15-08-2026,CUST119,Aditya More,T-Shirt,Fashion,1,891.97,891.97,Navi Mumbai,Cash,Completed
ORD1062,02-01-2026,CUST104,Riya Desai,Keyboard,Electronics,2,1856.18,3712.36,Nagpur,Credit Card,Returned
ORD1063,05-03-2026,CUST104,Akash Shinde,Notebook,Stationery,4,109.21,436.84,Nashik,Cash,Returned
ORD1064,01-09-2026,CUST115,Tanvi Shah,Notebook,Stationery,5,122.29,611.45,Navi Mumbai,Net Banking,Completed
ORD1065,02-05-2026,CUST115,Rahul Jadhav,Jeans,Fashion,2,2307.21,4614.42,Nagpur,Debit Card,Cancelled
ORD1066,20-01-2026,CUST110,Neha Pawar,Bookshelf,Furniture,2,6206.98,12413.96,Aurangabad,Debit Card,Completed
ORD1067,08-02-2026,CUST108,Siddharth Patil,Jeans,Fashion,5,2015.45,10077.25,Nashik,Credit Card,Completed
ORD1068,30-04-2026,CUST114,Ananya Patil,Desk,Furniture,4,11594.12,46376.48,Nagpur,Cash,Completed
ORD1069,06-01-2026,CUST119,Siddharth Patil,Jeans,Fashion,5,2396.27,11981.35,Kolhapur,UPI,Completed
ORD1070,02-08-2026,CUST114,Kavya Joshi,Mouse,Electronics,4,963.62,3854.48,Nagpur,Cash,Completed
ORD1071,10-04-2026,CUST111,Siddharth Patil,Mouse,Electronics,4,897.42,3589.68,Nashik,Cash,Completed
ORD1072,11-04-2026,CUST119,Omkar More,Pen Set,Stationery,5,226.35,1131.75,Mumbai,UPI,Returned
ORD1073,16-02-2026,CUST102,Rahul Jadhav,Desk,Furniture,2,12880.44,25760.88,Navi Mumbai,Debit Card,Completed
ORD1074,14-08-2026,CUST113,Rahul Jadhav,Bookshelf,Furniture,3,6288.75,18866.25,Navi Mumbai,Debit Card,Completed
ORD1075,14-01-2026,CUST112,Neha Pawar,Bookshelf,Furniture,1,6823.73,6823.73,Pune,UPI,Completed
ORD1076,09-06-2026,CUST105,Neha Pawar,Keyboard,Electronics,2,1922.12,3844.24,Nashik,Cash,Returned
ORD1077,30-04-2026,CUST109,Isha Gupta,Smartphone,Electronics,5,30507.44,152537.2,Nashik,Net Banking,Cancelled
ORD1078,11-02-2026,CUST110,Sneha Kulkarni,Water Bottle,Accessories,1,738.89,738.89,Mumbai,Debit Card,Cancelled
ORD1079,03-07-2026,CUST107,Rohan Deshmukh,Backpack,Accessories,4,1762.8,7051.2,Nagpur,UPI,Returned
ORD1080,03-06-2026,CUST104,Omkar More,Shoes,Fashion,3,3424.19,10272.57,Mumbai,Debit Card,Cancelled
ORD1081,15-06-2026,CUST111,Aarav Sharma,Desk,Furniture,3,10965.5,32896.5,Navi Mumbai,Cash,Completed
ORD1082,01-08-2026,CUST115,Vivek Joshi,Desk,Furniture,3,12325.4,36976.2,Navi Mumbai,Credit Card,Returned
ORD1083,24-08-2026,CUST118,Mansi Kulkarni,Notebook,Stationery,3,122.78,368.34,Kolhapur,Cash,Returned
ORD1084,04-03-2026,CUST103,Rahul Jadhav,Pen Set,Stationery,3,241.12,723.36,Kolhapur,Credit Card,Completed
ORD1085,28-03-2026,CUST101,Mansi Kulkarni,Pen Set,Stationery,5,258.41,1292.05,Thane,Credit Card,Completed
ORD1086,29-03-2026,CUST109,Tanvi Shah,Keyboard,Electronics,3,1907.22,5721.66,Aurangabad,Net Banking,Completed
ORD1087,04-07-2026,CUST114,Mansi Kulkarni,Notebook,Stationery,2,110.05,220.1,Nagpur,Cash,Returned
ORD1088,05-01-2026,CUST103,Pooja Chavan,Water Bottle,Accessories,4,692.74,2770.96,Nagpur,Cash,Returned
ORD1089,05-04-2026,CUST116,KAVYA JOSHI,Keyboard,Electronics,3,1859.03,5577.09,Thane,Cash,Returned
ORD1090,27-04-2026,CUST109,Pooja Chavan,Notebook,Stationery,3,116.44,349.32,Aurangabad,Credit Card,Completed
ORD1091,10-07-2026,CUST118,Priya Shah,Water Bottle,Accessories,2,674.18,1348.36,Nagpur,Credit Card,Returned
ORD1092,14-07-2026,CUST117,Tanvi Shah,Bookshelf,Furniture,3,6791.96,20375.88,Aurangabad,UPI,Completed
ORD1093,19-03-2026,CUST101,Kavya Joshi,Mouse,Electronics,2,874.96,1749.92,Nashik,Debit Card,Completed
ORD1094,30-08-2026,CUST105,Mansi Kulkarni,Laptop,Electronics,5,43129.23,215646.15,Pune,UPI,Cancelled
ORD1095,29-03-2026,CUST106,Ananya Patil,Mouse,Electronics,4,896.17,3584.68,Aurangabad,Cash,Completed
ORD1096,19-01-2026,CUST119,Ananya Patil,T-Shirt,Fashion,1,882.13,882.13,Nashik,Credit Card,Cancelled
ORD1097,31-01-2026,CUST118,Riya Desai,Mouse,Electronics,1,988.91,988.91,Nagpur,Net Banking,Completed
ORD1098,31-05-2026,CUST114,Pooja Chavan,Bookshelf,Furniture,4,6236.56,24946.24,Mumbai,Net Banking,Returned
ORD1099,09-03-2026,CUST103,Priya Shah,Smartphone,Electronics,2,28702.88,57405.76,Nagpur,Credit Card,Cancelled
ORD1100,26-04-2026,CUST120,Mansi Kulkarni,Smartphone,Electronics,2,25214.98,50429.96,Aurangabad,UPI,Completed
ORD1101,27-04-2026,CUST103,Neha Pawar,Mouse,Electronics,3,936.54,2809.62,Aurangabad,Net Banking,Returned
ORD1102,20-05-2026,CUST108,Vivek Joshi,Shoes,Fashion,2,3152.09,6304.18,Aurangabad,Credit Card,Completed
ORD1103,02-06-2026,CUST119,Pooja Chavan,Laptop,Electronics,2,47633.66,95267.32,Kolhapur,UPI,Completed
ORD1104,30-08-2026,CUST109,Nikhil Pawar,Water Bottle,Accessories,3,727.96,2183.88,Kolhapur,Cash,Completed
ORD1105,08-07-2026,CUST111,Tanvi Shah,Pen Set,Stationery,1,269.47,269.47,Aurangabad,UPI,Completed
ORD1106,06-01-2026,CUST109,Omkar More,Keyboard,Electronics,5,1831.36,9156.8,Mumbai,Credit Card,Completed
ORD1107,16-02-2026,CUST119,Riya Desai,Notebook,Stationery,4,129.99,519.96,Kolhapur,UPI,Completed
ORD1108,21-06-2026,CUST104,Priya Shah,Office Chair,Furniture,4,8216.62,32866.48,Thane,Cash,Returned
ORD1109,13-04-2026,CUST118,Ananya Patil,Bookshelf,Furniture,3,6711.36,20134.08,Kolhapur,UPI,Completed
ORD1110,17-07-2026,CUST113,Nikhil Pawar,Mouse,Electronics,3,830.87,2492.61,Mumbai,Net Banking,Completed
ORD1111,03-04-2026,CUST120,Mansi Kulkarni,Desk,Furniture,1,11250.2,11250.2,Kolhapur,UPI,Completed
ORD1112,15-03-2026,CUST115,Mansi Kulkarni,Mouse,Electronics,5,833.58,4167.9,Pune,UPI,Returned
ORD1113,21-03-2026,CUST118,Aarav Sharma,Pen Set,Stationery,2,260.49,520.98,Navi Mumbai,UPI,Completed
ORD1114,31-01-2026,CUST105,Mansi Kulkarni,T-Shirt,Fashion,1,893.06,893.06,Aurangabad,Net Banking,Returned
ORD1115,01-05-2026,CUST108,Akash Shinde,Mouse,Electronics,4,960.25,3841,Nashik,Cash,Completed
ORD1116,14-08-2026,CUST105,Rohan Deshmukh,Jeans,Fashion,5,2203.63,11018.15,Aurangabad,Cash,Completed
ORD1117,01-01-2026,CUST110,Pooja Chavan,Jeans,Fashion,5,2097.56,10487.8,Kolhapur,Credit Card,Completed
ORD1118,22-05-2026,CUST118,Siddharth Patil,Notebook,Stationery,4,116.28,465.12,Kolhapur,Debit Card,Completed
ORD1119,01-03-2026,CUST114,Ananya Patil,Water Bottle,Accessories,2,710.05,1420.1,Thane,Cash,Returned
ORD1120,19-06-2026,CUST105,Mansi Kulkarni,Jeans,Fashion,4,2149.87,8599.48,Mumbai,Credit Card,Cancelled
ORD1121,12-08-2026,CUST115,Sneha Kulkarni,Pen Set,Stationery,3,268.49,805.47,Kolhapur,UPI,Returned
ORD1122,09-02-2026,CUST103,Mansi Kulkarni,Headphones,Electronics,4,2685.47,10741.88,Aurangabad,Debit Card,Cancelled
ORD1123,07-08-2026,CUST111,Kavya Joshi,Water Bottle,Accessories,4,720.98,2883.92,Navi Mumbai,Debit Card,Returned
ORD1124,10-01-2026,CUST120,Rohan Deshmukh,Water Bottle,Accessories,4,752.13,3008.52,Nagpur,Debit Card,Completed
ORD1125,26-01-2026,CUST104,Akash Shinde,Water Bottle,Accessories,1,690.76,690.76,Nashik,Debit Card,Completed
ORD1126,17-03-2026,CUST112,Isha Gupta,Laptop,Electronics,3,47665.29,142995.87,Navi Mumbai,Credit Card,Completed
ORD1127,22-07-2026,CUST106,Priya Shah,Notebook,Stationery,4,121.58,486.32,Nashik,UPI,Cancelled
ORD1128,03-03-2026,CUST116,Omkar More,T-Shirt,Fashion,4,921.55,3686.2,Nashik,Credit Card,Completed
ORD1129,20-06-2026,CUST101,Akash Shinde,Backpack,Accessories,3,1785.45,5356.35,Aurangabad,Net Banking,Completed
ORD1130,31-05-2026,CUST110,Riya Desai,Smartphone,Electronics,4,30493.32,121973.28,Aurangabad,Cash,Completed
ORD1131,28-01-2026,CUST108,Siddharth Patil,Keyboard,Electronics,4,1927.2,7708.8,Thane,Net Banking,Completed
ORD1132,01-08-2026,CUST113,Rahul Jadhav,Water Bottle,Accessories,3,633.07,1899.21,Mumbai,Net Banking,Returned
ORD1133,10-07-2026,CUST116,Pooja Chavan,Shoes,Fashion,1,3462.79,3462.79,Nagpur,Net Banking,Completed
ORD1134,23-06-2026,CUST105,Sneha Kulkarni,Keyboard,Electronics,2,1843.52,3687.04,Mumbai,Debit Card,Completed
ORD1135,03-02-2026,CUST103,Pooja Chavan,Laptop,Electronics,5,43783.75,218918.75,Thane,Cash,Completed
ORD1136,13-08-2026,CUST112,Nikhil Pawar,Keyboard,Electronics,2,1903.14,3806.28,Aurangabad,Credit Card,Completed
ORD1137,17-03-2026,CUST111,Sneha Kulkarni,Jeans,Fashion,4,2405.65,9622.6,Kolhapur,UPI,Completed
ORD1138,05-07-2026,CUST113,Kavya Joshi,Shoes,Fashion,2,3430.49,6860.98,Thane,UPI,Completed
ORD1139,27-04-2026,CUST112,Rahul Jadhav,Laptop,Electronics,3,45329.15,135987.45,Navi Mumbai,Debit Card,Completed
ORD1140,08-06-2026,CUST118,Karan Mehta,Backpack,Accessories,2,1789.73,3579.46,Nagpur,UPI,Returned
ORD1141,19-03-2026,CUST114,Sneha Kulkarni,T-Shirt,Fashion,4,973.69,3894.76,Nashik,UPI,Completed
ORD1142,02-03-2026,CUST118,Vivek Joshi,Mouse,Electronics,4,830.9,3323.6,Navi Mumbai,Cash,Completed
ORD1143,10-07-2026,CUST105,Riya Desai,Backpack,Accessories,5,1770.89,8854.45,Pune,Cash,Cancelled
ORD1144,05-04-2026,CUST107,Akash Shinde,Desk,Furniture,3,10878.52,32635.56,Kolhapur,Credit Card,Completed
ORD1145,15-06-2026,CUST112,Ananya Patil,Smartphone,Electronics,3,28249.01,84747.03,Navi Mumbai,Debit Card,Completed
ORD1146,24-02-2026,CUST120,Aarav Sharma,Smartphone,Electronics,4,25713.37,102853.48,Mumbai,Debit Card,Completed
ORD1147,01-08-2026,CUST118,Aditya More,Headphones,Electronics,5,2352.6,11763,Nagpur,Credit Card,Completed
ORD1148,02-06-2026,CUST101,Rahul Jadhav,Shoes,Fashion,2,3384.73,6769.46,Nashik,Credit Card,Cancelled
ORD1149,10-08-2026,CUST101,Vivek Joshi,Mouse,Electronics,2,829.79,1659.58,Mumbai,Debit Card,Completed
ORD1150,09-03-2026,CUST102,Vivek Joshi,Pen Set,Stationery,3,225.79,677.37,Navi Mumbai,Net Banking,Completed
ORD1151,19-07-2026,CUST112,Nikhil Pawar,Water Bottle,Accessories,1,696.67,696.67,Pune,Cash,Cancelled
ORD1152,20-07-2026,CUST117,Pooja Chavan,Keyboard,Electronics,5,1635.61,8178.05,Kolhapur,UPI,Completed
ORD1153,28-01-2026,CUST116,Akash Shinde,Bookshelf,Furniture,4,6404.16,25616.64,Pune,UPI,Completed
ORD1154,12-03-2026,CUST120,Omkar More,Pen Set,Stationery,2,228.28,456.56,Thane,Cash,Cancelled
